,0,1,2,3
576,567.0,592.0,128.06,4.0
577,568.0,575.0,38.48,4.0
578,570.0,571.0,223.59,4.0
579,570.0,833.0,983.43,0.0
580,572.0,573.0,274.94,4.0
581,572.0,699.0,1095.35,4.0
582,575.0,592.0,66.81,4.0
583,576.0,577.0,906.9,4.0
584,579.0,580.0,6167.1,4.0
585,579.0,659.0,731.31,4.0
586,579.0,659.0,738.05,4.0
587,582.0,841.0,1261.14,4.0
588,583.0,584.0,422.7,4.0
589,584.0,1081.0,3440.75,1.0
590,585.0,586.0,628.67,4.0
591,585.0,652.0,617.4,4.0
592,586.0,948.0,1819.57,1.0
593,587.0,908.0,3676.39,4.0
594,588.0,589.0,2470.76,4.0
595,591.0,592.0,657.44,4.0
596,591.0,675.0,41.82,4.0
597,593.0,594.0,468.36,4.0
598,597.0,598.0,601.36,4.0
599,597.0,721.0,916.13,3.0
600,600.0,601.0,276.55,4.0
601,602.0,603.0,1206.51,0.0
602,602.0,802.0,3105.9,0.0
603,603.0,853.0,1414.36,0.0
604,604.0,605.0,3103.07,0.0
605,604.0,1023.0,1538.96,2.0
606,605.0,690.0,53.32,4.0
607,606.0,607.0,682.06,1.0
608,606.0,792.0,131.96,4.0
609,607.0,790.0,732.4,4.0
610,609.0,610.0,1259.71,0.0
611,613.0,614.0,1284.01,4.0
612,615.0,616.0,813.48,0.0
613,615.0,1092.0,278.8,1.0
614,618.0,619.0,1243.1,4.0
615,618.0,736.0,621.29,4.0
616,621.0,622.0,1713.75,6.0
617,623.0,624.0,4175.5,6.0
618,625.0,626.0,8520.95,6.0
619,627.0,628.0,2487.26,6.0
620,629.0,630.0,3082.98,6.0
621,631.0,632.0,1701.19,6.0
622,633.0,634.0,3461.42,5.0
623,635.0,636.0,352.42,5.0
624,637.0,638.0,1673.01,5.0
625,639.0,640.0,872.09,5.0
626,641.0,642.0,1435.78,5.0
627,643.0,644.0,48.42,5.0
628,645.0,646.0,617.68,5.0
629,647.0,648.0,1156.6,5.0
630,647.0,906.0,650.87,4.0
631,647.0,1085.0,571.78,0.0
632,649.0,650.0,152.29,4.0
633,649.0,936.0,4169.77,4.0
634,650.0,658.0,571.84,4.0
635,651.0,652.0,1864.37,4.0
636,652.0,882.0,1018.61,0.0
637,653.0,654.0,719.3,4.0
638,653.0,777.0,286.61,4.0
639,655.0,656.0,635.29,4.0
640,657.0,760.0,247.48,4.0
641,659.0,697.0,1801.66,4.0
642,662.0,914.0,614.24,4.0
643,663.0,830.0,265.23,4.0
644,664.0,665.0,542.36,4.0
645,664.0,839.0,108.43,4.0
646,666.0,667.0,468.99,4.0
647,668.0,669.0,317.69,4.0
648,670.0,671.0,693.86,4.0
649,673.0,674.0,485.97,4.0
650,674.0,761.0,449.52,4.0
651,675.0,684.0,447.96,4.0
652,678.0,679.0,2880.98,4.0
653,680.0,681.0,438.14,4.0
654,680.0,841.0,2478.51,4.0
655,681.0,774.0,3183.24,0.0
656,684.0,696.0,70.27,4.0
657,685.0,686.0,5591.39,4.0
658,687.0,688.0,1126.09,4.0
659,689.0,690.0,609.14,4.0
660,689.0,704.0,932.05,4.0
661,690.0,852.0,1574.34,4.0
662,692.0,693.0,263.06,4.0
663,698.0,699.0,35.43,4.0
664,698.0,707.0,473.04,4.0
665,700.0,701.0,2105.26,4.0
666,701.0,777.0,241.4,4.0
667,702.0,703.0,1841.08,4.0
668,705.0,768.0,312.23,4.0
669,706.0,846.0,616.76,4.0
670,707.0,793.0,3139.19,4.0
671,708.0,709.0,1574.77,4.0
672,710.0,840.0,157.34,4.0
673,711.0,712.0,3784.07,0.0
674,711.0,712.0,3764.1,0.0
675,714.0,715.0,1865.26,0.0
676,715.0,716.0,140.05,4.0
677,718.0,719.0,3953.01,0.0
678,720.0,721.0,475.36,4.0
679,721.0,1100.0,679.17,3.0
680,722.0,940.0,1870.09,0.0
681,724.0,725.0,1163.32,0.0
682,724.0,802.0,3093.95,0.0
683,725.0,853.0,1425.4,0.0
684,726.0,727.0,1719.39,0.0
685,729.0,1097.0,618.64,3.0
686,729.0,1097.0,618.64,-1.0
687,729.0,1097.0,618.64,-1.0
688,729.0,1097.0,618.64,-1.0
689,729.0,1097.0,618.64,3.0
690,729.0,1097.0,618.64,-1.0
691,730.0,731.0,100.58,0.0
692,733.0,733.0,152.39,0.0
693,733.0,958.0,1720.96,1.0
694,734.0,735.0,1585.1,3.0
695,735.0,1073.0,1351.22,1.0
696,738.0,739.0,5051.65,6.0
697,741.0,742.0,6473.55,6.0
698,745.0,746.0,309.37,5.0
699,747.0,748.0,225.26,5.0
700,748.0,932.0,1821.88,4.0
701,749.0,750.0,661.9,5.0
702,752.0,753.0,1520.24,5.0
703,752.0,754.0,7.18,5.0
704,752.0,755.0,15.92,5.0
705,756.0,819.0,11156.16,6.0
706,758.0,858.0,161.15,0.0
707,760.0,922.0,2561.57,4.0
708,763.0,764.0,24.77,4.0
709,764.0,863.0,511.93,4.0
710,765.0,766.0,475.72,4.0
711,765.0,778.0,921.32,4.0
712,767.0,768.0,161.47,4.0
713,770.0,771.0,2229.06,4.0
714,770.0,922.0,824.83,4.0
715,772.0,773.0,532.25,4.0
716,773.0,907.0,186.18,4.0
717,774.0,775.0,1144.82,4.0
718,774.0,775.0,1160.3,4.0
